name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-4344,YES,0,3404,1919,3446,5724,5459,4493
GENE-4381,YES,0,1812,1749,1665,20,14,9
GENE-4396,YES,0,83,140,111,1,1,3
GENE-4736,YES,0,124,102,120,2849,2940,2750
GENE-4801,YES,0,1086,1026,1023,128,150,135
GENE-5005,YES,0,31,18,39,26,36,45
GENE-5154,YES,0,39,49,17,31,24,26
GENE-5177,YES,0,173,202,160,636,512,625
GENE-5547,YES,0,2000,1801,2286,89,78,71
GENE-5596,YES,0,83,93,147,267,354,471
GENE-5669,YES,0,189,141,154,128,172,249
GENE-5677,YES,0,17,15,34,9,1,3
GENE-5682,YES,0,1016,1088,803,983,835,1033
GENE-5740,YES,0,39,67,64,25,21,30
GENE-6018,YES,0,18,11,10,11,24,41
GENE-6159,YES,0,17430,12151,15549,2630,2681,3152
GENE-6442,YES,0,74,114,98,502,441,355
GENE-6500,YES,0,685,629,667,203,171,142
GENE-6546,YES,0,263,237,274,222,216,231
GENE-6758,YES,0,221,50,84,151,158,454
GENE-6796,YES,0,55,91,125,24,118,103
GENE-6799,YES,0,74,79,131,195,146,103
GENE-6918,YES,0,122,94,104,11,9,10
GENE-7039,YES,0,3847,1159,2493,1487,1302,683
GENE-7083,YES,0,392,409,459,1432,1276,1405
GENE-7106,YES,0,1950,2123,2017,2723,2854,2657
GENE-7119,YES,0,61,99,101,529,507,391
GENE-7154,YES,0,95,68,82,7,7,5
GENE-7180,YES,0,212,110,68,95,118,73
GENE-7190,YES,0,182,185,296,224,255,257
GENE-7250,YES,0,43,24,45,15,13,19
GENE-7290,YES,0,320,97,718,28,29,10
GENE-7370,YES,0,121,170,230,134,157,135
GENE-7505,YES,0,623,597,541,275,290,313
GENE-7536,YES,0,689,473,363,27,23,53
GENE-7649,YES,0,8,11,19,7,14,8
GENE-7696,YES,0,401,466,293,584,658,689
GENE-7749,YES,0,341,341,434,149,286,313
GENE-7760,YES,0,12,14,11,78,67,64
GENE-7886,YES,0,1292,1045,1757,459,648,581
GENE-7905,YES,0,18,19,24,463,347,394
GENE-7909,YES,0,45,70,38,374,352,343
GENE-7993,YES,0,20,19,13,117,118,97
GENE-8107,YES,0,764,746,703,100,91,131
GENE-8377,YES,0,23,26,21,165,209,162
GENE-8599,YES,0,754,681,504,213,175,194
GENE-8604,YES,0,686,699,854,107,133,116
GENE-8646,YES,0,93,95,67,11,8,6
GENE-8720,YES,0,30,118,83,548,712,1344
GENE-8809,YES,0,1322,1388,1286,751,804,883
GENE-8912,YES,0,228,366,264,42,70,70
GENE-8994,YES,0,144,114,92,164,174,147
GENE-9007,YES,0,143,58,77,223,360,429
GENE-9012,YES,0,6,6,4,101,83,79
GENE-9022,YES,0,1513,1473,1440,3587,3544,4038
GENE-9178,YES,0,65,45,61,38,17,25
GENE-9410,YES,0,1471,2991,2707,150,1012,534
GENE-9470,YES,0,105,95,77,197,157,166
GENE-9547,YES,0,11650,11725,15652,3777,8038,5255
GENE-9576,YES,0,727,405,828,121,155,126
GENE-9630,YES,0,25,26,23,388,343,312
GENE-9668,YES,0,111,196,162,63,94,57
GENE-9881,YES,0,1549,897,1177,4770,5211,3037
GENE-9890,YES,0,251,211,260,1839,2227,2058
GENE-9919,YES,0,14,20,27,40,43,45
GENE-10024,YES,0,560,1433,1046,192,217,329
GENE-10028,YES,0,49,36,37,98,119,97
GENE-10388,YES,0,1309,1130,1005,17217,14985,15551
GENE-10404,YES,0,43,9,15,12,12,28
GENE-10829,YES,0,108,128,104,93,89,83
GENE-11091,YES,0,32,47,50,333,282,324
GENE-11242,YES,0,25,32,33,238,261,204
GENE-11255,YES,0,19,19,31,27,17,24
GENE-11268,YES,0,661,344,418,1034,927,674
GENE-11273,YES,0,43,103,59,170,422,421
GENE-11375,YES,0,11,12,19,43,48,68
GENE-11514,YES,0,37,32,37,148,119,111
GENE-11552,YES,0,315,284,305,963,1008,1523
GENE-11627,YES,0,24,12,26,32,47,55
GENE-11699,YES,0,73,70,66,68,60,78
GENE-11804,YES,0,1,49,21,65,31,24
GENE-11819,YES,0,198,156,203,50,45,38
GENE-11917,YES,0,87,166,68,582,753,442
GENE-11953,YES,0,109,197,59,751,324,441
GENE-12047,YES,0,2879,3784,3693,129,113,99
GENE-12054,YES,0,71,65,65,823,991,1011
GENE-12089,YES,0,968,931,1112,43,52,74
GENE-12345,YES,0,61,54,60,17,11,9
GENE-12439,YES,0,585,451,430,83,83,58
GENE-12760,YES,0,50,68,62,22,30,23
GENE-12816,YES,0,99,154,80,792,489,882
GENE-12894,YES,0,46,162,133,41,91,77
GENE-13022,YES,0,45,37,40,23,16,18
GENE-13180,YES,0,43,52,61,45,26,37
GENE-13237,YES,0,18,10,25,30,44,33
GENE-13457,YES,0,11,7,6,28,15,20
GENE-13933,YES,0,193,181,267,1362,935,1276
GENE-14166,YES,0,461,309,491,110,170,189
GENE-14173,YES,0,26,21,16,132,133,147
GENE-14255,YES,0,879,625,961,139,122,126
GENE-14533,YES,0,20,18,5,18,21,16
GENE-14580,YES,0,4,6,12,78,87,95
GENE-14806,YES,0,89,63,102,568,605,621
GENE-14861,YES,0,22,123,144,39,23,12
GENE-15112,YES,0,226,204,128,25,38,53
GENE-15135,YES,0,16,18,17,92,113,116
GENE-15337,YES,0,5,1,3,22,15,24
GENE-15352,YES,0,14,11,8,60,35,92
GENE-15367,YES,0,150,113,95,293,288,363
GENE-15385,YES,0,13,12,13,2,15,23
GENE-15463,YES,0,144,152,130,356,330,419
GENE-15542,YES,0,657,910,446,133,132,170
GENE-15568,YES,0,626,554,328,98,113,94
GENE-15698,YES,0,2,11,10,12,12,13
GENE-15705,YES,0,343,297,461,195,157,238
GENE-15740,YES,0,22,29,28,17,21,17
GENE-15765,YES,0,345,450,662,336,814,421
GENE-15846,YES,0,117,87,104,104,114,133
GENE-15902,YES,0,313,359,215,67,35,51
GENE-15903,YES,0,196,150,208,174,134,103
GENE-15971,YES,0,71,87,65,274,290,218
GENE-16121,YES,0,281,241,218,20,21,20
GENE-16135,YES,0,19,18,18,36,38,30
GENE-16258,YES,0,23,19,13,13,10,17
GENE-16275,YES,0,8,4,6,53,52,54
GENE-16285,YES,0,54,38,39,579,625,557
GENE-16334,YES,0,3247,3030,2596,16212,21207,16939
GENE-16405,YES,0,64,63,64,41,57,37
GENE-16497,YES,0,29,33,23,127,178,48
GENE-16513,YES,0,1,3,4,24,15,18
GENE-16533,YES,0,420,221,1060,310,256,125
GENE-16652,YES,0,702,698,694,235,211,181
GENE-16735,YES,0,149,153,120,134,134,172
GENE-16751,YES,0,1102,1574,1568,2284,2520,2152
GENE-16788,YES,0,267,339,296,219,274,267
GENE-16884,YES,0,288,261,289,267,161,187
GENE-16910,YES,0,13,11,11,24,13,21
GENE-16924,YES,0,311,320,354,262,240,259
GENE-16984,YES,0,3073,821,649,1605,714,2349
GENE-17067,YES,0,43,26,27,3,6,0
GENE-17081,YES,0,61,97,83,29,20,27
GENE-17118,YES,0,35,38,57,2,24,27
GENE-17175,YES,0,0,3,2,43,32,44
GENE-17180,YES,0,1994,2228,1607,1544,1879,1500
GENE-17183,YES,0,81,68,95,86,67,98
GENE-17284,YES,0,16,14,16,18,13,13
GENE-17285,YES,0,8,4,3,35,31,29
GENE-17492,YES,0,65,62,51,48,43,30
GENE-17496,YES,0,229,181,180,106,132,123
GENE-17515,YES,0,140,112,138,2026,1916,2227
GENE-17531,YES,0,205,246,210,219,191,233
GENE-17604,YES,0,255,269,233,527,508,503
GENE-17713,YES,0,71,631,268,7,516,818
GENE-18077,YES,0,179,221,171,316,343,295
GENE-18125,YES,0,81,102,80,5,6,8
GENE-18129,YES,0,18,25,14,31,31,20
GENE-18159,YES,0,2,9,5,23,16,21
GENE-18225,YES,0,49,73,191,679,1880,1401
GENE-18334,YES,0,10,16,12,56,53,53
GENE-18379,YES,0,14,20,33,21,20,26
GENE-18553,YES,0,374,341,369,47,61,74
GENE-18574,YES,0,1305,1103,496,3029,4322,3077
GENE-18610,YES,0,30,19,23,116,116,123
GENE-18697,YES,0,101,104,83,445,272,437
GENE-18774,YES,0,175,197,140,80,71,52
GENE-18990,YES,0,547,528,541,390,270,273
GENE-19043,YES,0,109,135,107,188,253,278
GENE-19097,YES,0,92,115,64,544,616,1389
GENE-19164,YES,0,23,16,24,171,138,148
GENE-19281,YES,0,25,18,17,24,45,40
GENE-19292,YES,0,63,42,69,174,119,124
GENE-19313,YES,0,712,793,559,481,492,707
GENE-19351,YES,0,11062,8380,10031,220,247,259
GENE-19559,YES,0,1,12,0,1,6,127
GENE-19560,YES,0,11,8,6,40,38,32
GENE-19805,YES,0,1473,383,1154,2233,855,1075
GENE-19809,YES,0,10,7,8,30,39,30
GENE-19814,YES,0,396,464,292,1928,2725,2084
GENE-1,NO,1,0,0,0,0,0,0
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,30,35,47,42,50,36
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,0,0,0,0,0,0
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,0,0,0,0,0,0
GENE-8,NO,1,83,51,60,73,70,64
GENE-9,NO,1,0,0,0,0,0,0
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,141,240,177,199,188,175
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,0,0,0,0,0,0
GENE-14,NO,1,737,738,765,800,722,767
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,NO,1,0,0,0,0,0,0
GENE-17,NO,1,121,189,72,114,112,71
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,0,0,0,0,0,0
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,NO,1,0,0,0,0,0,0
GENE-22,NO,1,0,0,1,1,0,1
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,11,14,27,9,14,19
GENE-25,NO,1,0,0,0,0,0,0
GENE-26,NO,1,31,23,29,26,19,30
GENE-27,NO,1,0,0,0,0,0,0
GENE-28,NO,1,4,2,1,4,2,1
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,2,1,4,3,4,2
GENE-33,NO,1,18,15,18,21,13,16
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,1,0,1,0,4,0
GENE-36,NO,1,0,0,0,0,0,0
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,12,11,13,17,6,4
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,YES,1,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,249,198,178,215,290,155
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,116,87,74,162,146,123
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,324,167,287,221,412,153
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,NO,1,1,1,1,1,2,3
GENE-52,NO,1,0,0,0,0,0,0
GENE-53,YES,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,2334,2071,1555,1328,1948,1684
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,0,3,1,2,2,5
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,0,0,0,0,0,0
GENE-60,NO,1,216,230,189,297,252,158
GENE-61,NO,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,0,0,0,0,0,0
GENE-64,NO,1,5961,6284,5372,5308,4999,5579
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,81,71,45,47,58,68
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,NO,1,0,0,0,0,0,0
GENE-70,NO,1,1,0,2,0,0,1
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,1,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,0,0,0,0,0,0
GENE-76,NO,1,1,0,0,0,0,1
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,248,241,231,278,289,211
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,809,593,669,597,611,610
GENE-82,NO,1,179,224,135,201,161,204
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,75,53,60,94,90,64
GENE-86,NO,1,0,0,0,0,0,0
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,NO,1,0,0,0,0,0,0
GENE-89,NO,1,4,0,2,7,3,2
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,0,0,0,0,0,0
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,1021,1146,1038,916,1002,1097
GENE-96,NO,1,1,1,0,1,2,0
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,51,55,46,41,52,47
GENE-99,NO,1,1,0,0,0,0,1
GENE-100,NO,1,0,0,0,0,0,0
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,0,0,0,0,0,0
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,NO,1,0,0,0,0,0,0
GENE-107,NO,1,124,392,200,179,140,113
GENE-108,NO,1,0,0,0,0,0,0
GENE-109,NO,1,0,0,0,0,0,1
GENE-110,NO,1,2513,1772,1708,2069,2557,1607
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,595,662,654,457,533,453
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,YES,1,0,0,0,0,0,0
GENE-117,NO,1,0,0,0,0,0,0
GENE-118,NO,1,0,0,0,0,0,0
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,0,0,0,0,0,0
GENE-121,NO,1,0,0,0,0,0,0
GENE-122,NO,1,2,3,2,2,1,1
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,62,48,55,35,45,41
GENE-127,NO,1,0,0,0,0,0,2
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,YES,1,0,0,0,0,0,0
GENE-130,NO,1,0,0,0,0,0,0
GENE-131,NO,1,0,0,0,0,0,0
GENE-132,NO,1,0,3,0,9,2,2
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,0,0,0,0,0,0
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,30,16,32,23,23,22
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,0,0,0,0,0,0
GENE-141,NO,1,1,2,1,3,1,3
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,0,0,0,0,0,0
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,1,3,1,1,0,2
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,0,0,1,0,1,0
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,15,43,27,34,23,34
GENE-150,NO,1,1,1,4,1,1,0
GENE-151,NO,1,0,0,0,0,0,0
GENE-152,NO,1,0,0,0,0,0,0
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,0,0,0,0,0,0
GENE-155,NO,1,0,0,0,0,0,0
GENE-156,NO,1,0,0,0,0,0,0
GENE-157,NO,1,0,0,0,0,0,0
GENE-159,NO,1,65,79,61,94,78,59
GENE-160,NO,1,0,0,0,0,0,0
GENE-161,NO,1,0,0,0,0,0,0
GENE-162,NO,1,2,8,2,15,3,3
GENE-163,NO,1,0,0,0,0,0,0
GENE-164,NO,1,209,208,174,79,173,167
GENE-166,NO,1,0,0,0,0,0,0
GENE-167,NO,1,84,75,83,78,118,87
GENE-168,NO,1,29,35,25,35,39,28
GENE-169,YES,1,0,0,0,0,0,0
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,42,67,48,41,69,90
GENE-173,NO,1,0,0,0,0,0,0
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,765,924,878,1067,1157,788
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,0,0,0,2,7,5
GENE-179,NO,1,0,0,0,0,0,0
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,0,0,0,0,0,0
GENE-182,NO,1,173,181,211,191,210,201
GENE-183,NO,1,21,38,16,35,27,32
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,2439,1588,2002,1700,1633,2481
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,1,3,2,2,0,1
GENE-189,NO,1,769,741,789,667,609,646
GENE-190,NO,1,2,6,2,3,3,2
GENE-191,NO,1,0,0,0,0,0,0
GENE-193,NO,1,283,297,205,231,236,249
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,NO,1,0,0,0,0,0,0
GENE-197,NO,1,483,437,409,328,328,454
GENE-198,NO,1,16,24,20,21,17,17
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,0,0,0,0,0,0
GENE-201,NO,1,72,63,64,84,68,77
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,1480,1630,1514,1251,1375,1325
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,YES,1,0,0,0,0,0,0
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,0,0,0,0,0,0
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,0,0,0,0,0,0
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,55,59,77,57,53,62
GENE-222,NO,1,83,74,92,91,93,83
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,0,0,0,0,0,0
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,485,821,458,450,675,555
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,223,247,215,246,218,229
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,0,0,0,0,0,0
GENE-233,NO,1,1,4,3,8,3,1
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,2,1,1,0,2,1
GENE-236,NO,1,0,0,0,0,0,0
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,YES,1,0,0,0,0,0,0
GENE-239,NO,1,32,28,37,39,43,33
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,0,0,0,0,0,0
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,0,0,0,0,0,0
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,517,536,516,486,505,537
GENE-249,NO,1,0,0,0,0,0,0
GENE-251,NO,1,19,20,30,32,11,38
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,168,168,190,243,178,203
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,948,1966,1857,2286,986,2824
GENE-256,NO,1,1048,722,732,1036,951,1105
GENE-257,NO,1,0,0,0,0,1,0
GENE-258,NO,1,1,0,0,0,2,1
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,45,45,53,38,30,56
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,394,271,234,429,166,400
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,118,103,96,71,100,90
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,378,427,307,562,421,347
GENE-270,NO,1,9,8,5,12,10,13
GENE-271,NO,1,0,0,0,0,0,0
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,43,51,74,54,51,48
GENE-274,NO,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,86,70,75,69,82,71
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,0,0,0,0,0,0
GENE-279,NO,1,116,55,84,90,47,91
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,0,2,2,0,1,1
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,0,0,0,0,0,0
GENE-284,NO,1,0,0,0,0,0,0
GENE-285,NO,1,0,0,0,0,0,0
GENE-286,NO,1,1339,1682,983,1583,1506,1430
GENE-287,NO,1,2202,1753,1355,1846,1561,1317
GENE-288,NO,1,0,0,0,0,0,0
GENE-289,NO,1,19,10,26,21,17,22
GENE-290,NO,1,0,0,0,0,0,0
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,63,63,65,66,61,66
GENE-295,NO,1,0,0,0,0,0,0
GENE-296,NO,1,16,11,17,11,15,9
GENE-297,NO,1,0,0,0,0,0,0
GENE-298,NO,1,61,76,54,51,55,60
GENE-299,NO,1,67,77,89,83,73,82
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,418,408,277,382,317,296
GENE-304,NO,1,0,0,0,0,0,0
GENE-305,NO,1,59,58,87,40,73,48
GENE-306,NO,1,0,0,0,0,0,0
GENE-307,NO,1,12,9,10,12,8,10
GENE-308,NO,1,10,15,23,7,12,17
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,NO,1,164,90,133,151,91,147
GENE-311,NO,1,0,0,0,0,0,0
GENE-312,NO,1,0,0,0,0,0,0
GENE-313,NO,1,65,20,14,24,25,33
GENE-314,YES,1,0,0,0,0,0,0
GENE-315,NO,1,0,0,0,0,0,0
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,0,0,0,0,0,0
GENE-318,NO,1,0,0,0,0,0,0
GENE-319,NO,1,0,0,0,0,0,0
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,37,9,18,41,24,13
GENE-324,NO,1,710,481,708,624,513,605
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,0,0,0,0,0,0
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,0,0,0,0,0,0
GENE-329,NO,1,52,44,46,31,48,40
GENE-330,NO,1,0,0,0,0,0,0
GENE-331,NO,1,0,0,0,0,0,0
GENE-332,YES,1,0,0,0,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
GENE-335,NO,1,839,1249,948,1415,1410,1137
GENE-336,NO,1,0,0,1,0,0,0
GENE-337,NO,1,3,3,2,1,3,3
GENE-338,NO,1,0,1,2,0,0,0
GENE-339,NO,1,0,0,0,0,0,0
GENE-340,NO,1,1,0,0,0,0,0
GENE-341,NO,1,63,27,46,51,42,44
GENE-342,NO,1,0,0,0,0,0,0
GENE-343,NO,1,0,0,0,0,0,0
GENE-344,NO,1,0,0,0,0,0,0
GENE-345,NO,1,0,0,0,0,0,0
GENE-346,NO,1,0,0,0,0,0,0
GENE-347,NO,1,5,4,0,6,9,2
GENE-348,NO,1,167,43,118,181,241,112
GENE-349,NO,1,0,0,0,0,0,0
GENE-350,NO,1,23,16,27,30,39,29
GENE-351,NO,1,0,0,0,0,0,0
GENE-352,NO,1,0,0,0,0,0,0
GENE-353,NO,1,0,0,0,0,0,0
GENE-355,NO,1,13,0,0,0,2,0
GENE-356,NO,1,0,0,0,0,0,0
GENE-357,NO,1,0,0,0,0,0,0
GENE-358,NO,1,400,540,527,527,490,379
GENE-359,NO,1,0,0,1,0,1,0
GENE-360,NO,1,0,0,0,0,0,0
GENE-361,NO,1,977,1151,714,685,795,828
GENE-362,NO,1,0,0,0,0,0,0
GENE-363,YES,1,0,0,0,0,0,0
GENE-364,NO,1,0,0,0,0,0,0
GENE-365,NO,1,0,0,0,0,0,0
GENE-366,NO,1,3,0,1,0,1,2
GENE-367,NO,1,0,0,0,0,0,0
